,FANG.US
659,0.1982488022468272
660,0.0495376486129477
661,-0.0220215811495378
662,0.3073545554335907
663,-0.4410143329658119
664,-0.033087018859602
665,-0.2432283029297942
666,0.1104362230811643
667,0.0551876379690917
668,-0.1326259946949495
669,-0.6238948386881605
670,-0.5018441935844395
671,-1.0503727128981166
672,-0.4196438697969882
673,0.0453463326153407
674,0.0792931581332208
675,1.483980203177904
676,2.957532861476243
677,0.5655397762975853
678,-1.7584244516912848
679,-0.5270939127081012
680,-0.4213863922146701
681,-1.6517060367454084
682,1.11601349597716
683,0.1619485651357129
684,0.7458368160483486
685,0.8225991582706238
686,0.5327920842318936
687,-0.3053823641684627
688,0.6824213319853305
689,0.5154639175257867
690,0.5749999999999922
691,0.5222581447401166
692,0.060893014701304
693,-0.1979828165857201
694,0.5264135752771378
695,-0.1053936763794094
696,0.1423884108215129
697,-0.4227541187441759
698,0.3901411939559051
699,0.5909874415168727
700,-0.6061018795968308
701,-0.1227328514932543
702,-0.4933534329176366
703,0.5180640763462788
704,-0.8901995521492956
705,0.8282635383985895
706,-0.0204652431953074
707,0.2042344611614017
708,-0.3415533847940433
709,-0.9715729052140332
710,-0.3748269177513224
711,-0.8757839453577798
712,0.2327201783723544
713,1.225051617343428
714,0.5611825896523359
715,-0.5090108680698922
716,-0.3451131971286582
717,0.2890571231934039
718,0.4081005980997233
719,-0.6036408771203867
720,-0.0690035881866014
721,-0.1797317848748727
722,0.2069536423841138
723,0.2065262288310498
724,0.7651318486132016
725,-0.0380904012188942
726,-0.8709016393442711
727,-0.3070361377680198
728,-0.1556870818322119
729,0.5756684149929677
730,0.1787766568765171
731,-0.4747241467795798
732,0.1635759731617613
733,-0.4215333161821549
734,-0.1933238819435384
735,-0.1548986704530845
736,0.0902759865875772
737,-0.0709814802865158
738,0.1481958762886532
739,-0.1419538004903851
740,0.0258031221777967
741,0.0128998968008138
742,-0.0903808908973443
743,-0.1810891217177604
744,-0.0323478035841439
745,0.1227707417937437
746,-0.1877387194924529
747,-0.2531152647974989
748,-0.6466784244562082
749,-0.2948113207547282
750,-1.399527186761233
751,0.1699235344095221
752,-0.3125000000000119
753,0.5836942195443462
754,-0.1980945193849577
755,-0.1511572980633073
756,0.2826189354686871
757,-0.0376967298086949
758,0.2069030377127799
759,0.0188058298072365
760,0.2999906252929665
761,-0.1220198986296184
762,0.0093852651337314
763,-0.8644714720627692
764,0.1353753072414514
765,-0.0283687943262422
766,0.1226861755630732
767,-0.2176053005205874
768,0.2643254979703588
769,-0.1607413010590031
770,0.1227689111341915
771,0.0943485234456027
772,0.0282965478211668
773,-0.1795332136445221
774,0.1038323579384551
775,-0.2502175805047911
776,-0.1852861035422362
777,0.7142084190022688
778,0.8689122505900047
779,-0.1181398346042309
780,0.3318347248983112
781,0.0534930993901756
782,0.224167378309146
783,0.0106734977051882
